Name,Traits,Free Hours
Sherri,Empathetic[3];Leadership[4];Communicative[2];Overbearing[-1];Impatient[-1],9
Alverta,Logical[3];Organized[2];Detail-Oriented[3];Passive[-1];Overly Competitive[-1],8
Carina,Analytical[3];Resourceful[2];Logical[3];Intolerant[-2];Uncooperative[-2],9
Ulrike,Flexible[2];Supportive[2];Strategic[3];Stubborn[-1];Unempathetic[-2],33
Allsun,Diplomatic[2];Supportive[2];Collaborative[2];Skeptical[-1];Non-communicative[-2],36
Sondra,Diplomatic[2];Supportive[2];Collaborative[2];Dismissive[-2];Easily Distracted[-1],6
Kordula,Flexible[2];Detail-Oriented[3];Innovative[2];Uncooperative[-2];Conflict-Averse[-2],12
Cathleen,Collaborative[2];Problem-Solver[3];Flexible[2];Procrastinator[-3];Indecisive[-2],37
Marysa,Analytical[3];Problem-Solver[3];Diplomatic[2];Overly Critical[-2];Unreliable[-3],9
Ethelind,Strategic[3];Tech-Savvy[2];Empathetic[3];Procrastinator[-3];Overly Critical[-2],30
Aimil,Flexible[2];Creative Thinker[2];Tech-Savvy[2];Rigid[-2];Impatient[-1],2
Gloria,Mediator[2];Tech-Savvy[2];Empathetic[3];Stubborn[-1];Defensive[-1],13
Henrie,Collaborative[2];Diplomatic[2];Organized[2];Skeptical[-1];Non-communicative[-2],32
Cacilie,Flexible[2];Supportive[2];Communicative[2];Intolerant[-2];Micromanaging[-2],36
Ursulina,Supportive[2];Organized[2];Logical[3];Dismissive[-2];Aloof[-1],38
Hailee,Supportive[2];Analytical[3];Problem-Solver[3];Intolerant[-2];Perfectionist (to a fault)[-1],27
Kessiah,Resourceful[2];Flexible[2];Innovative[2];Perfectionist (to a fault)[-1];Stubborn[-1],37
Dorette,Creative Thinker[2];Analytical[3];Detail-Oriented[3];Overly Competitive[-1];Perfectionist (to a fault)[-1],39
Leeann,Innovative[2];Communicative[2];Collaborative[2];Unempathetic[-2];Narrow-Minded[-2],37
Brina,Analytical[3];Empathetic[3];Flexible[2];Uncooperative[-2];Overbearing[-1],20
Vania,Creative Thinker[2];Problem-Solver[3];Logical[3];Overbearing[-1];Perfectionist (to a fault)[-1],26
